filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.9150125980377197,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.4679977893829346,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,0,"Fluctuations in dE and rms values indicate instability, with several steps showing significant increases and oscillations, suggesting divergence.",,True,,2.467092752456665,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Consistent decrease in dE and d eps with values approaching convergence thresholds, indicating strong convergence trend.",,True,,2.1907801628112793,8,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values indicate instability, with no clear trend towards convergence thresholds.",,True,,2.3344526290893555,7,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Consistent decrease in dE and d eps, with rms values trending downwards, indicating strong convergence towards thresholds.",,True,,2.7761898040771484,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Consistent decrease in dE, d eps, and rms values, approaching convergence criteria with minor fluctuations.",,True,,2.380549192428589,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.352437734603882,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values, with no clear trend towards convergence thresholds, indicating instability.",,True,,3.8995304107666016,7,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Consistent decrease in dE and d eps with rms values stabilizing, indicating strong convergence trends despite minor fluctuations.",,True,,2.775472640991211,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating divergence.",,True,,2.392427444458008,7,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.4421141147613525,7,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.5702500343322754,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Consistent decrease in dE, d eps, and rms values, approaching convergence thresholds with minor fluctuations.",,True,,2.570194721221924,8,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values, with no clear trend towards convergence, indicating instability.",,True,,2.7072653770446777,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.417494535446167,7,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.483771324157715,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values, with dE not consistently decreasing and remaining above convergence thresholds, indicating divergence.",,True,,2.366800546646118,7,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Consistent decrease in dE and d eps with rms values trending downwards, indicating strong convergence behavior despite some fluctuations.",,True,,2.3634448051452637,8,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,0,"Fluctuations in dE and rms values indicate instability, with several steps showing significant oscillations and values not consistently approaching convergence thresholds.",,True,,2.3656327724456787,7,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.469820022583008,7,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.6367950439453125,7,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.405620813369751,7,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.6022300720214844,7,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.5339362621307373,7,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,0,"Initial fluctuations in dE and rms indicate instability, with significant oscillations and values not approaching convergence thresholds.",,True,,2.3655242919921875,7,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,0,"Fluctuations in dE and rms values indicate instability, with several steps showing significant oscillations and values not stabilizing towards convergence thresholds.",,True,,2.7766716480255127,7,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,0,"Despite some decrease in dE and d eps, the fluctuations and persistent high rms values indicate instability and divergence.",,True,,3.7977678775787354,7,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"Consistent decrease in dE and d eps with rms values stabilizing, indicating a strong trend towards convergence despite some fluctuations.",,True,,2.876866579055786,8,50,True
vasp-data-files/111100010101111011110101/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values with no clear trend towards convergence, indicating instability.",,True,,2.3658485412597656,7,50,True
vasp-data-files/101101010101111111101100/OSZICAR,1,50,1,"Consistent decrease in dE and d eps with stabilization towards convergence criteria, though minor fluctuations exist.",,True,,2.8782145977020264,8,50,True
vasp-data-files/100011101110110010111111/OSZICAR,1,50,0,"Significant fluctuations in dE and rms with values remaining high and inconsistent, indicating divergence despite some decreasing trends.",,True,,2.5921316146850586,7,50,True
vasp-data-files/101111000100111110100000/OSZICAR,1,50,0,"Initial fluctuations in dE and rms indicate instability, with values not consistently decreasing towards convergence thresholds.",,True,,2.341761589050293,7,50,True
vasp-data-files/101011010100110010100100/OSZICAR,0,50,0,"Significant fluctuations in dE and rms values, with no clear trend towards convergence, indicating instability.",,True,,2.5729827880859375,7,50,True
vasp-data-files/110100001110001101011001/OSZICAR,0,50,0,"Fluctuations in dE and rms values indicate instability, with several steps showing significant increases and no clear trend towards convergence.",,True,,2.465986967086792,7,50,True
