filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,0,"rms(c) falls to ~0.20 by step 40 but then plateaus/oscillates around 0.24–0.25 through step 50; despite small dE, the tie-breaker rule says a stagnating rms(c) indicates non-convergence",,True,,38.290703535079956,8,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"rms(c) drops strongly from ~1.2E+01 to ~2.6E-01 with only minor late oscillations; although dE remains ~1E-02–1E-01, the macro-trend of rms(c) is steadily downward per tie-breaker, indicating likely convergence",,True,,21.388540983200073,8,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"rms(c) shows a strong overall downward trend from ~1.06E+01 to 6.5E-03 with only minor bumps; dE also damps steadily to ~2.5E-03 by step 50, indicating continued progress toward convergence per the tie-breaker rule",,True,,14.983518362045288,8,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,rms(c) declines monotonically from ~1e+1 to ~1e-3 with no stagnation; dE damps to ~1e-4–1e-3 indicating steady convergence despite early oscillations,,True,,23.763110637664795,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,rms(c) briefly decreases but from steps 45–50 it stagnates at ~1.7–1.8 with no clear downward trend while dE oscillates at O(1 eV); per tie-breaker this indicates divergence,,True,,20.90175175666809,9,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"rms(c) decreases strongly and consistently from ~1e1 (step 12) to 1.34e-2 (step 50) with only minor bumps; despite dE oscillations, the tie-breaker rule indicates damped convergence",,True,,22.12871026992798,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,rms(c) decreases steadily from ~1e+2 (step 12) to 1.18e-2 (step 50) with minor bumps; dE damps to |dE|=7.9e-05 in the last step—clear converging trend per tie-breaker rule,,True,,21.720974445343018,9,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows a strong, consistent downward trend from ~1e+1 to ~4.7e-2 with minor bumps; dE also damps to ~7e-04, indicating stabilizing SCF and likely convergence",,True,,22.434680700302124,8,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows a strong overall downward trend from ~1.2E+01 to 4.6E-02 with only minor bumps; dE magnitudes also damp to <1 eV, indicating likely convergence per tie-breaker rule",,True,,27.045330047607422,8,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) steadily damps from ~1e+1 (step 12) to ~6e-3 (step 50) with mostly monotonic decline; per tie-breaker this clear downward trend indicates eventual convergence",,True,,19.976622104644775,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,rms(c) decreases early (10→~2) but then stagnates/creeps up around 1.9–2.2 from steps 39–50; dE oscillates; per tie-breaker the late-stage non-decreasing rms(c) indicates divergence,,True,,24.386829376220703,8,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"dE shows oscillations but damping; per Golden Rule rms(c) macro-trend steadily drops from ~1.26E+02 (step 13) to 1.77E-01 (step 50) with minor bumps, indicating a fighting, likely-to-converge calculation",,True,,31.852675199508667,8,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,rms(c) shows a strong overall decline from ~1.06E+01 (step 12) to ~4.08E-01 (step 50) despite oscillatory dE; per tie-breaker the sustained downward trend in rms(c) indicates eventual convergence,,True,,32.34384083747864,8,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"rms(c) decreases strongly and steadily (≈1.2e1 at step 13 to 3.17e-3 at step 50) with only minor noise; despite early dE oscillations, later |dE| is small (1e-2–1e-3); per tie-breaker the clear downward rms(c) trend indicates convergence",,True,,27.180707931518555,9,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,rms(c) shows a strong downward macro-trend from ~1.2E+01 (step 13) to 1.6E-01 (step 50) with minor oscillations; per tie-breaker this indicates damped convergence despite noisy dE,,True,,16.81191372871399,8,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,1,"rms(c) shows a clear long-term downward trend (≈10.5 at step 12 → ≈1.83 at step 50) despite noisy dE; per tie-breaker, this sustained damping indicates a fighting SCF likely to converge",,True,,30.50800108909607,6,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1,"rms(c) shows a clear downward macro-trend from ~12.6 (step 13) to 0.217 (step 50) despite oscillatory dE, indicating a “fighter” that will converge per tie-breaker rule",,True,,22.02910590171814,8,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,1,"rms(c) drops strongly from ~1.06E+01 (step 12) to ~4.0E-02 (step 50) with only minor bumps; although dE oscillates, its scale shrinks; per tie-breaker the clear downward macro-trend in rms(c) indicates convergence",,True,,29.901758193969727,8,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"rms(c) drops monotonically from ~1e+1 (steps 12–13) to 2.6e-2 by step 50 with only minor noise; dE also damps to ~1e-3–1e-4. Per tie-breaker rule, the clear downward macro-trend in rms(c) indicates eventual convergence.",,True,,23.4683358669281,8,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,rms(c) decreases strongly overall (≈12→0.163 from steps 12–50) despite dE oscillations; late-stage damping and sustained downward macro-trend per tie-breaker rule indicate likely convergence,,True,,19.77271008491516,8,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Despite early dE swings (steps ~12–18), rms(c) shows a strong macro-downtrend from >1E+01 to ~7.8E-02 with only minor bumps; per tie-breaker this steady decrease overrules dE oscillations and indicates eventual convergence",,True,,29.48634123802185,8,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"rms(c) steadily drops from ~12.4 (step 13) to ~0.121 (step 50) with only minor bumps, and rms also decays; per tie-breaker rule this strong downward macro-trend outweighs dE oscillations and signals eventual convergence",,True,,19.689379692077637,8,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"rms(c) shows a strong downward macro-trend from ~1.2E+01 (step 13) to ~2.8E-01 (step 50) with steady decline in the last 10 steps; despite large dE oscillations, tie-breaker rule favors eventual convergence",,True,,25.609909057617188,8,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1,"rms(c) macro-trend decreases strongly from ~12 (step 13) to ~1 (step 50) with a clear late downtrend (steps 38–47) despite dE oscillations and a small rebound at 48–50, indicating a “fighter” likely to converge per tie-breaker rule",,True,,25.916633129119873,5,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Early dE oscillations damp, but per tie-breaker rms(c) shows a strong overall decrease from ~1e+1 to ~3e-2 with only minor noise; dE also reduces to ~1e-03–1e-02, indicating steady convergence",,True,,19.056397438049316,8,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1,rms(c) drops dramatically from ~12 at step 13 to ~0.02–0.04 by steps 47–50 with a generally decreasing macro-trend despite noise; dE also damps to 6e-04 indicating likely convergence,,True,,24.979595184326172,7,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"rms(c) shows a clear macro-downward trend from ~1.06E+01 (step 12) to 2.54E-01 (step 50) despite oscillatory dE, indicating damped convergence per tie-breaker rule",,True,,15.183049440383911,8,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"rms(c) shows a strong overall downward trend from ~1e+1 (step 12) to ~1e-2 by step 50 with only minor noise; despite dE oscillations it damps to ~3e-04, satisfying the tie-breaker rule and indicating likely convergence",,True,,23.7680025100708,8,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"rms(c) drops steadily from ~1.0E+01 (step 12) to ~3.0E-03 (step 50) with only minor noise; dE oscillations damp to meV scale—per tie-breaker, the clear downward macro-trend in rms(c) indicates convergence",,True,,29.39851689338684,9,50,True
